Cover,Distance,p,pmin,pmax
Non-covered,48.06773353,35.18540636,32.94840135,37.42241137
Non-covered,48.5987376,34.88100904,32.64175594,37.12026214
Non-covered,49.13560767,34.57315053,32.33232889,36.81397217
Non-covered,49.67840854,34.26190184,32.02022481,36.50357886
Non-covered,50.22720574,33.94733838,31.70554966,36.1891271
Non-covered,50.78206549,33.62954,31.38841058,35.87066942
Non-covered,51.34305478,33.3085909,31.06891573,35.54826606
Non-covered,51.91024131,32.98457961,30.74717419,35.22198502
Non-covered,52.48369355,32.65759893,30.42329576,34.8919021
Non-covered,53.06348071,32.32774587,30.09739084,34.5581009
Non-covered,53.64967279,31.99512157,29.7695703,34.22067283
Non-covered,54.24234052,31.65983118,29.43994532,33.87971704
Non-covered,54.84155545,31.3219838,29.10862724,33.53534036
Non-covered,55.44738991,30.98169234,28.77572744,33.18765724
Non-covered,56.05991702,30.6390734,28.44135722,32.83678958
Non-covered,56.67921071,30.29424713,28.10562762,32.48286663
Non-covered,57.30534574,29.94733707,27.76864935,32.12602479
Non-covered,57.93839768,29.59847003,27.43053263,31.76640743
Non-covered,58.57844294,29.24777588,27.0913871,31.40416466
Non-covered,59.22555878,28.89538737,26.75132168,31.03945306
Non-covered,59.87982331,28.54143997,26.41044449,30.67243544
Non-covered,60.54131549,28.18607165,26.06886278,30.30328052
Non-covered,61.21011517,27.82942267,25.72668278,29.93216257
Non-covered,61.88630309,27.47163539,25.38400968,29.5592611
Non-covered,62.56996084,27.11285402,25.04094758,29.18476046
Non-covered,63.26117097,26.75322439,24.69759937,28.80884942
Non-covered,63.96001688,26.39289376,24.35406675,28.43172076
Non-covered,64.66658295,26.03201051,24.01045021,28.05357081
Non-covered,65.38095445,25.67072397,23.66684897,27.67459897
Non-covered,66.10321761,25.30918413,23.32336104,27.29500722
Non-covered,66.83345961,24.94754138,22.98008319,26.91499957
Non-covered,67.57176858,24.58594632,22.63711104,26.53478159
Non-covered,68.31823366,24.22454943,22.29453908,26.15455978
Non-covered,69.07294493,23.8635009,21.95246075,25.77454105
Non-covered,69.83599349,23.50295031,21.61096851,25.39493211
Non-covered,70.60747145,23.14304642,21.27015397,25.01593887
Non-covered,71.38747192,22.78393694,20.93010799,24.63776588
Non-covered,72.17608905,22.42576823,20.5909208,24.26061566
Non-covered,72.97341804,22.06868515,20.25268216,23.88468814
Non-covered,73.77955511,21.71283075,19.91548148,23.51018002
Non-covered,74.59459758,21.35834607,19.57940799,23.13728416
Non-covered,75.41864382,21.00536997,19.2445509,22.76618904
Non-covered,76.2517933,20.65403885,18.91099957,22.39707813
Non-covered,77.09414657,20.30448648,18.57884362,22.03012934
Non-covered,77.94580532,19.95684381,18.24817308,21.66551453
Non-covered,78.80687234,19.61123878,17.91907857,21.303399
Non-covered,79.67745156,19.26779617,17.59165133,20.943941
Non-covered,80.55764807,18.92663737,17.26598338,20.58729136
Non-covered,81.44756811,18.58788031,16.94216752,20.23359311
Non-covered,82.34731909,18.25163928,16.6202974,19.88298115
Non-covered,83.25700961,17.91802476,16.30046747,19.53558205
Non-covered,84.17674948,17.58714339,15.98277298,19.19151379
Non-covered,85.10664972,17.25909778,15.66730987,18.85088569
Non-covered,86.04682256,16.93398646,15.35417463,18.5137983
Non-covered,86.99738148,16.61190379,15.04346416,18.18034343
Non-covered,87.95844123,16.29293988,14.73527556,17.85060419
Non-covered,88.9301178,15.97718051,14.42970588,17.52465513
Non-covered,89.91252848,15.66470713,14.12685184,17.20256242
Non-covered,90.90579184,15.35559679,13.82680954,16.88438403
Non-covered,91.91002778,15.04992211,13.52967412,16.5701701
Non-covered,92.92535752,14.74775129,13.23553941,16.25996318
Non-covered,93.95190359,14.44914809,12.94449759,15.95379859
Non-covered,94.98978992,14.15417182,12.65663879,15.65170485
Non-covered,96.03914177,13.8628774,12.37205077,15.35370403
Non-covered,97.10008581,13.57531534,12.09081853,15.05981216
Non-covered,98.17275009,13.29153181,11.81302395,14.77003967
Non-covered,99.25726409,13.01156866,11.53874551,14.4843918
Non-covered,100.3537587,12.73546348,11.26805795,14.20286901
Non-covered,101.4623663,12.46324968,11.001032,13.92546736
Non-covered,102.5832207,12.19495652,10.7377341,13.65217895
Non-covered,103.7164571,11.93060923,10.47822623,13.38299222
Non-covered,104.8622125,11.67022903,10.22256568,13.11789237
Non-covered,106.0206249,11.41383329,9.970804943,12.85686163
Non-covered,107.1918344,11.16143556,9.722991525,12.5998796
Non-covered,108.3759822,10.91304571,9.479167919,12.34692351
Non-covered,109.5732112,10.66867001,9.239371527,12.0979685
Non-covered,110.7836661,10.42831124,9.003634636,11.85298784
Non-covered,112.0074928,10.19196878,8.771984429,11.61195314
Non-covered,113.2448392,9.959638782,8.544443014,11.37483455
Non-covered,114.4958545,9.731314205,8.321027484,11.14160093
Non-covered,115.7606898,9.506984992,8.101749999,10.91221998
Non-covered,117.0394977,9.286638157,7.886617883,10.68665843
Non-covered,118.3324326,9.070257917,7.67563375,10.46488208
Non-covered,119.6396505,8.857825807,7.468795634,10.24685598
Non-covered,120.9613093,8.649320801,7.266097144,10.03254446
Non-covered,122.2975684,8.444719436,7.067527618,9.821911253
Non-covered,123.6485892,8.243995925,6.873072298,9.614919551
Non-covered,125.0145347,8.047122283,6.682712507,9.41153206
Non-covered,126.3955698,7.854068445,6.49642583,9.21171106
Non-covered,127.7918612,7.664802379,6.314186308,9.01541845
Non-covered,129.2035774,7.479290206,6.13596462,8.822615793
Non-covered,130.6308888,7.297496315,5.961728284,8.633264345
Non-covered,132.0739677,7.119383469,5.791441843,8.447325095
Non-covered,133.5329884,6.944912925,5.625067059,8.26475879
Non-covered,135.0081268,6.774044533,5.462563103,8.085525964
Non-covered,136.4995611,6.606736849,5.303886741,7.909586957
Non-covered,138.0074712,6.442947232,5.148992518,7.736901945
Non-covered,139.5320392,6.282631946,4.99783294,7.567430953
Non-covered,141.0734491,6.125746263,4.850358645,7.401133881
Non-covered,142.631887,5.972244548,4.706518579,7.237970516
Non-covered,144.2075409,5.822080358,4.566260157,7.077900559
Non-covered,145.8006011,5.675206529,4.429529423,6.920883634
Non-covered,147.4112598,5.531575258,4.296271206,6.76687931
Non-covered,149.0397114,5.391138192,4.166429267,6.615847117
Non-covered,150.6861525,5.2538465,4.039946439,6.46774656
Non-covered,152.3507819,5.119650955,3.916764767,6.322537143
Non-covered,154.0338004,4.988502003,3.796825631,6.180178375
Non-covered,155.7354112,4.860349836,3.680069875,6.040629797
Non-covered,157.4558197,4.735144457,3.566437923,5.903850991
Non-covered,159.1952336,4.612835742,3.455869886,5.769801598
Non-covered,160.9538627,4.493373505,3.348305671,5.638441338
Non-covered,162.7319195,4.376707551,3.243685079,5.509730023
Non-covered,164.5296184,4.262787735,3.141947899,5.383627571
Non-covered,166.3471764,4.151564009,3.043033992,5.260094026
