state,location,wind,distance,rep,height
Michigan,Transect C,downwind,104.9,7,32
Michigan,Transect C,downwind,104.9,8,34
Michigan,Transect C,downwind,104.9,9,35
Michigan,Transect C,downwind,104.9,10,32
Michigan,Transect C,downwind,119.8,1,40
Michigan,Transect C,downwind,119.8,2,39
Michigan,Transect C,downwind,119.8,3,44
Michigan,Transect C,downwind,119.8,4,46
Michigan,Transect C,downwind,119.8,5,38
Michigan,Transect C,downwind,119.8,6,47
Michigan,Transect C,downwind,119.8,7,46
Michigan,Transect C,downwind,119.8,8,48
Michigan,Transect C,downwind,119.8,9,46
Michigan,Transect C,downwind,119.8,10,40
Arkansas,West transect 1,upwind,15.2,1,72
Arkansas,West transect 1,upwind,15.2,2,84
