Row,Distance,Location,Cover,Rep,Injury,Height,DAT
13,6,N-2,No,1,25,89,28
13,6,N-2,No,2,25,84,28
13,6,N-2,No,3,25,85,28
14,6.5,N-2,No,1,20,87,28
14,6.5,N-2,No,2,25,85,28
14,6.5,N-2,No,3,20,82,28
15,7,N-2,No,1,20,88,28
15,7,N-2,No,2,15,88,28
15,7,N-2,No,3,20,87,28
16,7.5,N-2,No,1,10,90,28
16,7.5,N-2,No,2,10,91,28
16,7.5,N-2,No,3,10,85,28
17,8,N-2,No,1,10,88,28
17,8,N-2,No,2,10,85,28
17,8,N-2,No,3,5,87,28
18,8.5,N-2,No,1,10,84,28
18,8.5,N-2,No,2,5,83,28
18,8.5,N-2,No,3,10,88,28
19,9,N-2,No,1,5,84,28
19,9,N-2,No,2,5,84,28
19,9,N-2,No,3,2,86,28
20,9.5,N-2,No,1,5,82,28
20,9.5,N-2,No,2,5,86,28
20,9.5,N-2,No,3,2,87,28
21,10,N-2,No,1,2,87,28
21,10,N-2,No,2,1,86,28
21,10,N-2,No,3,2,88,28
1,0,N-3,No,1,,,28
1,0,N-3,No,2,,,28
1,0,N-3,No,3,,,28
2,0.5,N-3,No,1,45,86,28
2,0.5,N-3,No,2,45,81,28
2,0.5,N-3,No,3,45,85,28
3,1,N-3,No,1,45,84,28
3,1,N-3,No,2,40,82,28
3,1,N-3,No,3,40,84,28
4,1.5,N-3,No,1,40,88,28
4,1.5,N-3,No,2,40,84,28
4,1.5,N-3,No,3,40,84,28
5,2,N-3,No,1,35,85,28
5,2,N-3,No,2,40,86,28
5,2,N-3,No,3,40,87,28
6,2.5,N-3,No,1,35,89,28
6,2.5,N-3,No,2,35,87,28
6,2.5,N-3,No,3,30,84,28
7,3,N-3,No,1,30,84,28
7,3,N-3,No,2,30,85,28
7,3,N-3,No,3,35,85,28
8,3.5,N-3,No,1,30,86,28
8,3.5,N-3,No,2,30,85,28
8,3.5,N-3,No,3,35,90,28
9,4,N-3,No,1,20,94,28
9,4,N-3,No,2,20,92,28
9,4,N-3,No,3,20,87,28
10,4.5,N-3,No,1,25,89,28
10,4.5,N-3,No,2,20,88,28
10,4.5,N-3,No,3,20,86,28
11,5,N-3,No,1,15,87,28
11,5,N-3,No,2,10,84,28
11,5,N-3,No,3,10,85,28
12,5.5,N-3,No,1,15,85,28
12,5.5,N-3,No,2,15,87,28
12,5.5,N-3,No,3,15,88,28
13,6,N-3,No,1,15,89,28
13,6,N-3,No,2,10,88,28
13,6,N-3,No,3,10,84,28
14,6.5,N-3,No,1,15,90,28
14,6.5,N-3,No,2,10,88,28
14,6.5,N-3,No,3,15,90,28
15,7,N-3,No,1,10,88,28
